Symbol,Security,GICSSector,GICS Sub-Industry,Headquarters Location,Founded
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",1997
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",2012 (1935)
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1909
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1935
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2004 (1865 / 1909)
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1928 (2011)
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",1969
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",1971
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1992
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",1997
NEM,Newmont,Materials,Gold,"Denver, Colorado",1921
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013 (News Corporation 1980)
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2013 (News Corporation 1980)
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1984 (1925)
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1964
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",1912
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",1935
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",1881/1894 (1980)
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1889
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia","1994 (Northrop 1939, Grumman 1930)"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2011 (1966)
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1992
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1940
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",1993
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",1980
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",1953
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",1957
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1920
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",1934
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1986
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",1999
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1906
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1977
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut","2020 (1853, United Technologies spinoff)"
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1905
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",1959
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",2005
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",2019 (Paramount Pictures 1912)
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1917
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",1971
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",1998
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",1998
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",1966
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1898
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1849
PCG,PG&E Corporation,Utilities,Multi-Utilities,"San Francisco, California",1905
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008 (1847)
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012 (1917)
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",1985
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1845
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1883
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",1920
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",1879
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1837
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1937
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",1983
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",1875
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1903
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",1985
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",1972
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1956
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",1997
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1985
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",1967
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1967
RJF,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",1962
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1922
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",1969
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",1963
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",1988
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1971
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",1998 (1981)
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",1989
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",1937
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1903
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",1948
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",1982
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1997
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",1917
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",1999
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",1989
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1926
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1979
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",1998
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2003
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1866
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2003
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2002
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",1897
SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",1934
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1920
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",2023
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1945
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",1967
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1843
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",1971
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",1792
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",1993
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",1985
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",1941
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1993
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2003
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",1986
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1969
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1994
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1937
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",1993
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2017
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2005
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1902
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2007
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",1960
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1943
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",1960
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2003
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",1930
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1923
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2006 (1902)
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1987
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",1938
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",1871
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",1993
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",1853
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",1978
TFC,Truist,Financials,Regional Banks,"Charlotte, North Carolina",1872
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",1966
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",1935
USB,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",1968
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",2009
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",1972
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",1990
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",1862
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",1967
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",1907
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1997
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1977
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",1979
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1980
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",1998
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",2023
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1995
VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1971
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983 (1877)
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",1989
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",1961
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2017
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",1958
VST,Vistra,Utilities,Electric Utilities,"Irving, Texas",2016
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",1909
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",1967
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1927
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",1999 (1869)
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",2014
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1962
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",1923
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",2022 (Warner Bros. 1923)
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",1968
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",1958
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",1896
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1852
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",1970
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",1923
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1970
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",1900
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1908
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2002
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1909
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",1969
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",1927
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",1952
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
